doi	title	authors	container	year	volume	pages	crossref_url
10.1006/aima.1995.1039	Classical Chern-Simons Theory, 1	D.S. Freed	Advances in Mathematics	1995	113	237-303	https://doi.org/10.1006/aima.1995.1039
10.1007/JHEP08(2013)115	Reading between the lines of four-dimensional gauge theories	Ofer Aharony; Nathan Seiberg; Yuji Tachikawa	Journal of High Energy Physics	2013	2013		https://doi.org/10.1007/jhep08(2013)115
10.1007/BF01645738	Axioms for Euclidean Green's functions	Konrad Osterwalder; Robert Schrader	Communications in Mathematical Physics	1973	31	83-112	https://doi.org/10.1007/bf01645738
10.1007/BF01608978	Axioms for Euclidean Green's functions II	Konrad Osterwalder; Robert Schrader	Communications in Mathematical Physics	1975	42	281-305	https://doi.org/10.1007/bf01608978
10.1103/PhysRev.101.860	Quantum Field Theory in Terms of Vacuum Expectation Values	A. S. Wightman	Physical Review	1956	101	860-866	https://doi.org/10.1103/physrev.101.860
10.1103/PhysRev.179.1499	Non-Lagrangian Models of Current Algebra	Kenneth G. Wilson	Physical Review	1969	179	1499-1512	https://doi.org/10.1103/physrev.179.1499
10.1103/PhysRevLett.30.1343	Ultraviolet Behavior of Non-Abelian Gauge Theories	David J. Gross; Frank Wilczek	Physical Review Letters	1973	30	1343-1346	https://doi.org/10.1103/physrevlett.30.1343
10.1103/PhysRevLett.30.1346	Reliable Perturbative Results for Strong Interactions?	H. David Politzer	Physical Review Letters	1973	30	1346-1349	https://doi.org/10.1103/physrevlett.30.1346
10.1016/j.nuclphysb.2016.07.001	The energy–momentum tensor(s) in classical gauge theories	Daniel N. Blaschke; François Gieres; Méril Reboud; Manfred Schweda	Nuclear Physics B	2016	912	192-223	https://doi.org/10.1016/j.nuclphysb.2016.07.001
10.1103/PhysRevD.10.2445	Confinement of quarks	Kenneth G. Wilson	Physical Review D	1974	10	2445-2459	https://doi.org/10.1103/physrevd.10.2445
10.1016/0003-4916(78)90039-8	Gauge field theories on a lattice	K Osterwalder; E Seiler	Annals of Physics	1978	110	440-471	https://doi.org/10.1016/0003-4916(78)90039-8
10.1007/978-3-319-61860-9	Riemannian Geometry and Geometric Analysis	Jürgen Jost	Universitext	2017			https://doi.org/10.1007/978-3-319-61860-9
10.1098/rspa.1978.0143	Self-duality in four-dimensional Riemannian geometry	Michael Francis Atiyah; Nigel James Hitchin; I. M. Singer	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences	1978	362	425-461	https://doi.org/10.1098/rspa.1978.0143
10.2307/1969129	Irreducible Unitary Representations of the Lorentz Group	V. Bargmann	The Annals of Mathematics	1947	48	568	https://doi.org/10.2307/1969129
10.1007/978-3-319-13467-3	Lie Groups, Lie Algebras, and Representations	Brian C. Hall	Graduate Texts in Mathematics	2015			https://doi.org/10.1007/978-3-319-13467-3
10.1007/BF01878448	Operator product expansions and composite field operators in the general framework of quantum field theory	Kenneth G. Wilson; Wolfhart Zimmermann	Communications in Mathematical Physics	1972	24	87-106	https://doi.org/10.1007/bf01878448
10.1016/0003-4916(73)90429-6	Composite operators in the perturbation theory of renormalizable interactions	Wolfhart Zimmermann	Annals of Physics	1973	77	536-569	https://doi.org/10.1016/0003-4916(73)90429-6
10.1016/0003-4916(76)90225-6	General theory of renormalization of gauge invariant operators	Satish D Joglekar; Benjamin W Lee	Annals of Physics	1976	97	160-215	https://doi.org/10.1016/0003-4916(76)90225-6
10.1103/PhysRevD.12.3159	Renormalization of non-Abelian gauge theories in a background-field gauge. II. Gauge-invariant operators	H. Kluberg-Stern; J. B. Zuber	Physical Review D	1975	12	3159-3180	https://doi.org/10.1103/physrevd.12.3159
10.1016/S0370-1573(00)00049-1	Local BRST cohomology in gauge theories	Glenn Barnich; Friedemann Brandt; Marc Henneaux	Physics Reports	2000	338	439-569	https://doi.org/10.1016/s0370-1573(00)00049-1
10.1007/BF01649434	Small distance behaviour in field theory and power counting	K. Symanzik	Communications in Mathematical Physics	1970	18	227-246	https://doi.org/10.1007/bf01649434
10.1103/PhysRevD.16.438	Trace and dilatation anomalies in gauge theories	John C. Collins; Anthony Duncan; Satish D. Joglekar	Physical Review D	1977	16	438-449	https://doi.org/10.1103/physrevd.16.438
10.1007/BF01218586	YM2:Continuum expectations, lattice convergence, and lassos	Bruce K. Driver	Communications in Mathematical Physics	1989	123	575-616	https://doi.org/10.1007/bf01218586
10.1016/0003-4916(89)90032-8	Two dimensional Yang-Mills theory via stochastic differential equations	Leonard Gross; Christopher King; Ambar Sengupta	Annals of Physics	1989	194	65-112	https://doi.org/10.1016/0003-4916(89)90032-8
10.1090/memo/0600	Gauge theory on compact surfaces	Ambar Sengupta	Memoirs of the American Mathematical Society	1997	126		https://doi.org/10.1090/memo/0600
10.1103/PhysRev.96.191	Conservation of Isotopic Spin and Isotopic Gauge Invariance	C. N. Yang; R. L. Mills	Physical Review	1954	96	191-195	https://doi.org/10.1103/physrev.96.191
10.1007/978-1-4757-2261-1	Fibre Bundles	Dale Husemoller	Graduate Texts in Mathematics	1994			https://doi.org/10.1007/978-1-4757-2261-1
10.1215/S0012-7094-44-01151-8	Spectral resolution of groups of unitary operators	Warren Ambrose	Duke Mathematical Journal	1944	11		https://doi.org/10.1215/s0012-7094-44-01151-8
10.1103/PhysRevLett.33.244	Asymptotic Behavior of Non-Abelian Gauge Theories to Two-Loop Order	William E. Caswell	Physical Review Letters	1974	33	244-246	https://doi.org/10.1103/physrevlett.33.244
10.1090/memo/0790	Yang-Mills measure on compact surfaces	Thierry Lévy	Memoirs of the American Mathematical Society	2003	166		https://doi.org/10.1090/memo/0790
10.1007/BF02100009	On quantum gauge theories in two dimensions	Edward Witten	Communications in Mathematical Physics	1991	141	153-209	https://doi.org/10.1007/bf02100009
10.1098/rsta.1983.0017	The Yang-Mills equations over Riemann surfaces	Michael Francis Atiyah; Raoul Bott	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences	1983	308	523-615	https://doi.org/10.1098/rsta.1983.0017
10.1007/BF01609471	Some remarks on the Gribov ambiguity	I. M. Singer	Communications in Mathematical Physics	1978	60	7-12	https://doi.org/10.1007/bf01609471
10.1142/S0129055X08003420	RENORMALIZED QUANTUM YANG–MILLS FIELDS IN CURVED SPACETIME	STEFAN HOLLANDS	Reviews in Mathematical Physics	2008	20	1033-1172	https://doi.org/10.1142/s0129055x08003420
10.1007/s00220-012-1457-4	The Operator Product Expansion Converges in Perturbative Field Theory	Stefan Hollands; Christoph Kopper	Communications in Mathematical Physics	2012	313	257-290	https://doi.org/10.1007/s00220-012-1457-4
10.1103/PhysRevD.2.1541	Broken Scale Invariance in Scalar Field Theory	Curtis G. Callan	Physical Review D	1970	2	1541-1547	https://doi.org/10.1103/physrevd.2.1541
